,text,labels
168,According to the maximum heating requirements of a traditional greenhouse air-conditioning units with reversible air-air heat pump are planned for characteristic areas of north middle and south of Italy,O O O O B-Agr B-Agr O O O O B-Agr B-Agr O O B-Agr B-Agr O O O O O B-Agr O O O O O O B-Agr
169,Satisfactory rooting results (highest percentage 80-100 per cent and better roots) were obtained with IBA 0,O B-Agr B-Agr O O O O O O O B-Agr O O O B-Agr O
170,The characterisation of seven independent proline-requiring maize mutants is presented,O O O O O B-Agr B-Agr B-Agr O O
171,These information processing methods necessitate that economic and technical data be integrated with accounting systems,O B-Agr I-Agr B-Agr O O O O O B-Agr O O O B-Agr B-Agr
172,There have been quantitative-qualitative comparing made of lipid extracts (using four solvents) from samples of artless soil taken semimonthly in the course of five years to cognize the evolution of lipids in the soil,O O O O O O O B-Agr B-Agr O O B-Agr O B-Agr O O B-Agr O O O O O O O O O O O B-Agr O B-Agr O O B-Agr
173,Based on the peaks in grain filling activity the varieties were classified into four groups,O O O O O B-Agr B-Agr O O B-Agr O O O O B-Agr
174,A elaborate research on acidification of wines has been carried out,O O B-Agr O B-Agr O B-Agr O O O O
175,We also evaluated the resilience of maize leaves to solar radiation level after leaf expansion,O O O O B-Agr O B-Agr B-Agr O B-Agr I-Agr O O O O
176,To apply mathematical models in plant production studies we need to identify agroecophysiological parameters which describe the environment influence on plant growth and development,O O B-Agr I-Agr O B-Agr B-Agr O O O O O O B-Agr O O O B-Agr O O B-Agr I-Agr O B-Agr
177,Weight reduction was further influenced by the intrinsic factors characteristic of the species and variety as well as by the water handiness in the soil,B-Agr I-Agr O O O O O O B-Agr O O O B-Agr O B-Agr O O O O O B-Agr I-Agr O O B-Agr
178,Two breeding programs centered on selection and development of superior genotypes accommodate to semiarid areas are show,O B-Agr O O O B-Agr O B-Agr O O B-Agr O O O B-Agr O O
179,This was due to alteration in chemical composition (increase in crude fibre and reduction in protein and crude fat) and to lowered digestibility,O O O O O O B-Agr I-Agr O O B-Agr I-Agr O B-Agr O O O B-Agr I-Agr O O O B-Agr
180,The writer verify with tests that the drip irrigation with water supplement transcend the water-holding capacity of sandy soil results in leaching of the essential soil components find the nutrient supply capacity of the soil such as humus CaCO(3) clay colloids from the level cultivation [0-60 cm] below the root level [70 cm],O O O O B-Agr O O O B-Agr O B-Agr O O O B-Agr O O O B-Agr B-Agr O B-Agr O O O B-Agr B-Agr O O O B-Agr O O O B-Agr O O B-Agr O B-Agr B-Agr O O O B-Agr O O O O O O O O
181,This study find that streptococci were the aetiologic agents responsible for a high per-centum of breeding sows experiencing infertility and abortions,O O O O O O O O B-Agr O O O O O O B-Agr B-Agr O B-Agr O B-Agr
182,The livestock sphere look peculiarly accommodate and ready for the sweeping innovations of today's computer technology and data processing methods,O B-Agr O O O O O O O O O B-Agr O O O B-Agr O B-Agr I-Agr B-Agr
183,Speed of digestion of the forage assessed during short periods in tubes and sacs showed normal trends,B-Agr O B-Agr O O B-Agr O O O O O O O O O O B-Agr
184,Following the data analysis the authors offer some interesting correlations between the behaviour of the species in their environment fishing activity the yields obtained,O O B-Agr I-Agr O O O O O B-Agr O O B-Agr O O B-Agr O O B-Agr B-Agr O O B-Agr O
185,The environmental conditions particularly salinity and temperature in the ponds seem to be adequate to promote the growth of these species,O O O O B-Agr O B-Agr O O B-Agr O O O O O O O B-Agr O O B-Agr
186,This paper gives some indications about the aquaculture applications in Italy and abroad with notes about their probable developments,O B-Agr O O O O O B-Agr B-Agr O B-Agr O O O O O O O B-Agr
187,Similar results were obtained by multiple extractions,O B-Agr O O O O B-Agr
188,Portuguese pulp imports ever had little significance,O B-Agr B-Agr O O O O
189,Wood wastes contain more water-soluble K than peat,B-Agr B-Agr O O B-Agr O O B-Agr
190,Coating of urea with these chemicals was more effective than direct application to the soil,B-Agr O B-Agr O O B-Agr O O O O O B-Agr O O B-Agr
191,Environmental parameters and native plants composition were analyzed,O B-Agr O O B-Agr B-Agr O O
192,Soil preparation and pretreatment requirements were also studied,B-Agr O O O B-Agr O O O
193,The research on training systems that we have been conducting has pointed out that their study should be urgently encouraged in order to make present systems more rational and to define training system models which will better meet the requirements of modern viticulture,O B-Agr O B-Agr B-Agr O O O O O O O O O O O O O O O O B-Agr O O O B-Agr O O O O O B-Agr B-Agr B-Agr O O O O O B-Agr O O B-Agr
194,Four species and two varieties are likely new to the Italian freshwater plankton,O B-Agr O O B-Agr O O O O O O B-Agr B-Agr
195,Aluminium and iron are inversely correlated,B-Agr O B-Agr O O O
196,These animals exhibited aggression and vocalization when restrained,O B-Agr O O O B-Agr O O
197,Examples from Switzerland Peru and Africa are show,O O B-Agr B-Agr O B-Agr O O
198,Fluctuation of temperature resulted also in bigger leaves of deep green colour,O O B-Agr O O O O B-Agr O O O B-Agr
199,Probit analysis was used to determine the parameters of the germinating population of lettuce seed,B-Agr I-Agr O O O O O B-Agr O O O B-Agr O O B-Agr
200,Accumulation of free sugar starch mixed-link beta-glucan and hemicellulose in developing barley endosperms was look-into using a sequential enzymatic procedure,B-Agr O O B-Agr B-Agr O B-Agr O B-Agr O O B-Agr B-Agr O O O O O O O
201,"Agricultural extension workers were to advance rural development through ""community development"" and ""animation rurale"" movements peculiarly in Africa",B-Agr I-Agr B-Agr O O O B-Agr I-Agr O O I-Agr O O O B-Agr O O B-Agr
202,It is suggested that auxins play an important role in the development of barley grains,O O O O B-Agr O O O O O O B-Agr O B-Agr B-Agr
203,The results in production of dry affair show the effectivity of the nitrogen and the phosphorus (the latter only at dose 1),O B-Agr O B-Agr O B-Agr I-Agr O O O O O B-Agr O O B-Agr O O O O O O
204,These atmospheres were established by letting-down the atmospheric pressure or by neutering oxygen partial pressures at atmospheric pressure,O B-Agr O O O O O B-Agr I-Agr O O O B-Agr O I-Agr O O B-Agr
205,Moreover the transport of fat in the blood and the cholesterol metabolism are considered,O O B-Agr O O O O B-Agr O O B-Agr B-Agr O O
206,High levels of P enhanced Mn uptake by sorghum and accentuated Mn toxicity at low Mn levels,O B-Agr O O O O O O B-Agr O O O B-Agr O O O B-Agr
207,Information is presumption on the factors affecting the reproduction of Longidorid vectors of plant viruses,B-Agr O O O O B-Agr O O B-Agr O O B-Agr O O B-Agr
208,The soil and vegetation of two saline areas of the Guadalquivir River Marsh (Seville Spain) were analyze,O B-Agr O B-Agr O O O B-Agr O O B-Agr I-Agr O O B-Agr O O
209,In our previous research we establish that the concentrations of some pollutants in terrestrial snails are straight associate to contamination of the collection area,O O O B-Agr O O O O O O O B-Agr O O B-Agr O O O O B-Agr O O B-Agr B-Agr
210,Application techniques are ailing realize and are impede experimentation as well as commercial application,B-Agr B-Agr O O O O O O B-Agr O O O O B-Agr
211,Thus computer-assisted systems of process control designed besides for agriculture are under discussion and already put to the test in some branches,O O B-Agr O B-Agr I-Agr B-Agr O O B-Agr O O O O O O O O O O O B-Agr
212,Four commercial varieties and two high lysine genotypes were studied,O O B-Agr O O O B-Agr B-Agr O O
213,The purification procedure is composed of (NH(4))(2)SO(4) precipitation ion-exchange chromatography and chromatography on Sepharose-bound starch,O B-Agr O O O O O B-Agr O B-Agr O B-Agr O O B-Agr
214,Four species and two varieties are probably new to the Italian freshwater plankton,O B-Agr O O B-Agr O O O O O O B-Agr B-Agr
215,The differences between the larvae of lepidopterous species damaging mature grapes in this area are reported,O O O O B-Agr O O B-Agr O O B-Agr O O B-Agr O O
216,The fatty acid composition was moderately unsaturated and there were no signs of the accumulation of plant fatty acids typical of prawns fed diets supplemented with seed soils,O B-Agr I-Agr B-Agr O O O O O O O O O O B-Agr O O B-Agr I-Agr O O O O B-Agr O O B-Agr B-Agr
217,Results suggest that plant variety application of combined nitrogen and organic matter influence the rhizosphere nitrogen fixation,B-Agr O O O B-Agr B-Agr O O B-Agr O B-Agr I-Agr O O B-Agr B-Agr O
218,Starch accumulates mainly in the parenchyma of the inner bark and of the wood,B-Agr O O O O B-Agr O O O B-Agr O O O B-Agr
219,The results are discourse with regard to the development stability and management of heath-ecosystems,O B-Agr O O O O O O B-Agr B-Agr O B-Agr O O
220,Etiolated seedlings grown in CAP 10('-4)M unwrap 48 h after sowing to Army-for-the-Liberation-of-Rwanda red light accumulate large quantity of anthocyanins in hypocotyls and cotyledons,O B-Agr O O B-Agr O O O O O B-Agr O O O B-Agr O O O O B-Agr O B-Agr O B-Agr
221,Rust infections have been ascertained in a particular cultivation area of carrot in Sicily,O B-Agr O O O O O O B-Agr B-Agr O O O B-Agr
222,Digestibility of the plant residues was determined by rumen fermentation in vitro and in vivo,B-Agr O O O B-Agr O O O B-Agr B-Agr B-Agr I-Agr O O O
223,This paper gives some indicant about the aquaculture applications in Italy and overseas with notes about their likely developments,O B-Agr O O O O O B-Agr B-Agr O B-Agr O O O O O O O B-Agr
224,Accumulation is greater in cheese and in moulded casein than when proteins are prevalent on readily available carbohydrates,B-Agr O O O B-Agr O O O B-Agr O O B-Agr O O O O O B-Agr
225,This difficulty can be overcome with in vivo or in vitro adventitious bud techniques which in combination with radiation give almost exclusively solid non-chimeric mutants and unmutated plants,O O O O O O B-Agr O O B-Agr I-Agr O O B-Agr O B-Agr O O B-Agr O O O O O B-Agr O O B-Agr
226,No growth difference was indicated for silver carp in fertilized ponds and ponds receiving artificial feed,O B-Agr O O O O B-Agr B-Agr O O B-Agr O B-Agr O O O
227,Dehydration pretreatment followed by restoration of tissue turgidity caused a decrease in leakage of electrolytes ultraviolet-absorbing materials and ninhydrin-reactive substances from the desiccated or water immersed hypocotyl tissue,B-Agr O O O B-Agr O B-Agr O O O O O O O B-Agr O B-Agr O O B-Agr O O O O B-Agr O O B-Agr
228,Phosphorus message is low in the soil and moderate in its supported vegetation,B-Agr I-Agr O O O O B-Agr O O O O O B-Agr
229,The influence of environment variety and harvesting date on sugar beet yields are here taken into consideration,O O O B-Agr B-Agr O B-Agr I-Agr O B-Agr I-Agr B-Agr O O O O O
230,The spore viability was low but a number of clones could be derived from the spores,O B-Agr B-Agr O O O O O O B-Agr O O O O O B-Agr
231,In order to evaluate the competition between maize and grain sorghum the following were compared: all sorghum rows 3 sorghum rows and 1 maize row 2 and 2 rows single alternate rows 1 sorghum row and 3 maize rows all maize rows,O B-Agr O O O O O B-Agr O B-Agr B-Agr O O O O O B-Agr O O B-Agr O O O B-Agr O O O O O O O O O B-Agr O O O B-Agr O O B-Agr O
232,In most of the measurements canopy surface temperature showed little difference between irrigation levels suggesting similar lack of sensitivity of this parameter,O O O O B-Agr B-Agr B-Agr I-Agr O O O O B-Agr B-Agr O O O O O O O O
233,It is suggested that auxins play an of-import role in the development of barley grains,O O O O B-Agr O O O O O O B-Agr O B-Agr B-Agr
234,Few pupae were receive and no adults emerged,O B-Agr O O O O B-Agr O
235,Leaf water potential was highly correlated with needle water message when measurements were taken under low transpiration conditions which minimise the flow-related component of water potential,B-Agr B-Agr I-Agr O O O O O B-Agr O O B-Agr O O O O B-Agr O O O O O O O B-Agr O
236,Further results deduce from the simulation model show that the irrigation water demand in Lower Saxony is fundamentally influenced by soil conditions instead than by climatic conditions,O B-Agr O O O B-Agr O O O O B-Agr I-Agr B-Agr O B-Agr I-Agr O O O O B-Agr O O O O O O
237,Probit analysis was used to find the parameters of the germinating population of lettuce seed,B-Agr I-Agr O O O O O B-Agr O O O B-Agr O O B-Agr
238,The writer analyze the possibleness of destabilise patulin by some chemical agents such as cysteine and glutathione,O O O O O O O B-Agr O O B-Agr I-Agr O O B-Agr O B-Agr
239,The heat rhythm between production and consumption moldiness be closed,O B-Agr O O B-Agr O B-Agr O O O
240,Many tests have corroborate the accuracy of the results and turn-out the reward of this x-ray test demanding as it does minimal expenditure of time and labour,O B-Agr O O O B-Agr O O B-Agr O O O O O O O B-Agr B-Agr O O O O B-Agr O B-Agr O B-Agr
241,Data demo a very high sorghum yield reduction due to crop association whereas maize didn't take any proportional reward from its own aggressiveness: maize derive 29 kilogram only for 100 kilogram of grain sorghum yield reduction,B-Agr O O O O B-Agr O B-Agr O O B-Agr O O B-Agr O O O O O O O O O B-Agr O O O O O O O O B-Agr B-Agr O B-Agr
242,The effects of irradiation of stock plants and dark treatment of the cuttings during the rooting-period on root formation and subsequent growth of the cuttings after planting were analyze,O B-Agr O B-Agr O O B-Agr O O O O O B-Agr O O B-Agr O B-Agr O O O B-Agr O O B-Agr O B-Agr O O
243,Application of zinc also similarly lowered the concentration of phosphorus copper and iron but increased that of manganese in shoots and roots,B-Agr O B-Agr O O O O O O B-Agr B-Agr O B-Agr O O O O B-Agr O B-Agr O B-Agr
244,"Rosa"" using different agar media",B-Agr O O B-Agr O
245,The coupling yields detect with free amino acids were max,O O B-Agr O O B-Agr B-Agr I-Agr O O
246,Environmental parameters and native plants composition were analyse,O B-Agr O O B-Agr B-Agr O O
247,Possible ranges disagree for the disagreeent assessment factors,O O O O O O B-Agr B-Agr
248,Portuguese pulp imports always had little significance,O B-Agr B-Agr O O O O
249,Albedo value depends on sun altitude canopy structure optical characteristics and water content of leaves,B-Agr O O O B-Agr B-Agr B-Agr O O O O B-Agr O O B-Agr
250,The administration of Lactobacillus acidophilus to calves fed with milk replacer improved the growth rate and the conversion index,O B-Agr O B-Agr I-Agr O B-Agr O O B-Agr O O O B-Agr I-Agr O O O O
251,Dry affair and leaf area samples were receive at intervals of approximately two hebdomad,B-Agr I-Agr O B-Agr I-Agr B-Agr O O O O O O O O
252,The blood levels of zinc was very irregular with a decrease in the central period of research,O B-Agr B-Agr O B-Agr O O O O O O O O O O O B-Agr
253,Changes in anthocyanin composition during the ripening of grapes cvs,O O O B-Agr O O B-Agr O B-Agr O
254,The climate of area is semiarid; the soil is shallow and silty with a rocky subsoil,O B-Agr O B-Agr O O O B-Agr O O O O O O O B-Agr
255,The pollen behaviour refer viability after unlike storage menstruation did not show any deviation end-to-end one year the norm viability for all observations being 89,O B-Agr B-Agr O B-Agr O O B-Agr O O O O O O O O O O O B-Agr O O B-Agr O O
256,Estimates of root length per unit soil volume (L) were derived from N( r) by assuming random orientation of roots in the soil,O O B-Agr I-Agr O O B-Agr B-Agr O O O O O O O O O B-Agr O B-Agr O O B-Agr
257,Aluminium and iron are reciprocally correlated,B-Agr O B-Agr O O O
258,The results were receive with cows of 20 herds from 2 distinctive Sardinian areas (Italy),O B-Agr O O O B-Agr O O B-Agr O O O O B-Agr O
259,The results of clinical tests are correlated with a study of short term changes in liver histopathology,O B-Agr O O B-Agr O O O O O O O O O O B-Agr B-Agr
260,A 2-year rotation (autumn winter cereal-sugar beet) was liken with a 4-year rotation (autumn winter cereals - maize-autumn winter cereal-sugar beet),O O O O B-Agr B-Agr I-Agr O O O O O O O B-Agr B-Agr O B-Agr B-Agr B-Agr O
261,The most satisfactory results are obtained on administration of anthelmintics at the time when fattening is started,O O O B-Agr O O O B-Agr O B-Agr O O B-Agr O B-Agr O O
262,Rice roots were very necrotic and blackened,B-Agr B-Agr O O O O O
263,The effects of infrared and ultraviolet irradiation have been look-into on lactic acid and non-lactic acid bacteria in milk,O B-Agr O O O B-Agr I-Agr O O O O B-Agr I-Agr O O I-Agr I-Agr O B-Agr
264,The genetic behaviour of salt tolerance was studied in artificially salinized conditions at the International Rice Research Institute,O O B-Agr O B-Agr I-Agr O O O O O O O O O B-Agr B-Agr O
265,NAA developmentally-challenged carnation bud development and caused abnormalcy and distortion of flowers,B-Agr O O O B-Agr O O O O O O B-Agr
266,In the present paper the first order partial correlation coefficients between the total and extractable boron molybdenum and cobalt with the other soil properties are interpreted for the concerned main group of samples,O O O B-Agr O O B-Agr O B-Agr O O O O O O B-Agr B-Agr O B-Agr O O O B-Agr I-Agr O O O O O O O O B-Agr
267,At the same time cutting production was severely reduced,O O O B-Agr B-Agr B-Agr O O O
268,Data showed a very high sorghum yield reduction due to crop association whereas maize didn't take any proportional advantage from its own aggressiveness: maize gained 29 kg only for 100 kg of grain sorghum yield reduction,B-Agr O O O O B-Agr O B-Agr O O B-Agr O O B-Agr O O O O O O O O O B-Agr O O O O O O O O B-Agr B-Agr O B-Agr
269,Nickel was more uniformly administer over the total soil depth than the other two metals,B-Agr O O O O O O O B-Agr B-Agr O O O O B-Agr
270,This paper deals with a description of several agro-forestry systems combining forestry with agriculture or range management in a tropical environment,O B-Agr O O O O O O O B-Agr O B-Agr O B-Agr O O B-Agr O O O B-Agr
271,No growth deviation was bespeak for silver carp in fertilise ponds and ponds receiving artificial feed,O B-Agr O O O O B-Agr B-Agr O O B-Agr O B-Agr O O O
272,The proximate composition of citrous-fruit pulp was alike to that of the peel divide and did not disagree from previous results,O B-Agr I-Agr O B-Agr B-Agr O O O O O O B-Agr O O O O O O O B-Agr
273,alteration in the fatty acid composition in older leaves bespeak a developmentally-challenged senescence by an increased nitrogen-supply,O O O O O B-Agr O O B-Agr O O O B-Agr O O O B-Agr
274,When nitrification go-through its lag menstruation urea was applied to the soils,O B-Agr O O O O B-Agr O O O O B-Agr
275,Whatever the actual pace of modernization heedful attending to China's devolve environment will be critical,O O O B-Agr O B-Agr O O O B-Agr O B-Agr O O O
276,Decreased yield increased sterility and decreased grain weight were associated with degree and duration of water stress occurring at particular developmental stages,O O O O O O B-Agr B-Agr O O O O O B-Agr O B-Agr B-Agr O O O O B-Agr
277,High levels of P heighten Mn uptake by sorghum and accentuated Mn toxicity at low Mn levels,O B-Agr O O O O O O B-Agr O O O B-Agr O O O B-Agr
278,Rice roots were very necrotic and melanize,B-Agr B-Agr O O O O O
279,Satisfactory rooting results (highest per-centum 80-100 per cent and better roots) were receive with IBA 0,O B-Agr B-Agr O O O O O O O B-Agr O O O B-Agr O
280,A comparison of the recombinants and parents revealed that the main traits of the kinetics of DNA accumulation can be recovered in the progeny and that dry matter and nitrogen accumulation are largely independent processes,O O O O O O B-Agr O O O O O O O O O B-Agr B-Agr O O O O O B-Agr O O B-Agr I-Agr O B-Agr B-Agr O O O B-Agr
281,outstanding to the limited area available for forage cropping domestic livestock husbandry can only be escalate by purchasing extra concentrates,O O O O B-Agr O O B-Agr B-Agr O B-Agr O O O O O O B-Agr O B-Agr
282,This study determined that streptococci were the etiological agents responsible for a high percentage of breeding sows experiencing infertility and abortions,O O O O O O O O B-Agr O O O O O O B-Agr B-Agr O B-Agr O B-Agr
283,However older leaves reacted in the first instance on nitrogen and light,O O B-Agr O O O O O O B-Agr O B-Agr
284,Tolerance of sodium chloride was analyze in a few strains and even putatively fresh water strains were establish to be appreciably kind,B-Agr O B-Agr I-Agr O O O O O B-Agr O O O O B-Agr B-Agr O O O O O O
285,The four groups devour the pursuit amounts of digestible protein and digestible lysine pr,O O B-Agr O O O O O B-Agr I-Agr O B-Agr B-Agr O
286,The dynamics of harvesting and besides the pursuit handling don't let the possible persistence of seed contamination by this fungus,O B-Agr O B-Agr O O O O B-Agr O O O O B-Agr O B-Agr B-Agr O O O
287,Higher density increased yields of vegetable matter showing not negligible differences in the behaviour of different genotypes,O B-Agr O B-Agr O O O O O O O O O B-Agr O O B-Agr
288,The role of stigma secretion is discourse in relation to pollen activation and recognition and the pollen tube growth,O O O B-Agr B-Agr O O O O O B-Agr O O O O O B-Agr O B-Agr
289,Few data are available associate leaf water potential to yield and yield components,O B-Agr O O O B-Agr B-Agr I-Agr O B-Agr O O B-Agr
290,Application of zinc besides likewise lowered the concentration of phosphorus copper and iron but increased that of manganese in shoots and roots,B-Agr O B-Agr O O O O O O B-Agr B-Agr O B-Agr O O O O B-Agr O B-Agr O B-Agr
291,Survival look to correlate with discernible protein message of developing larvae and possible factors influencing further development were discourse,B-Agr O O O O O B-Agr I-Agr O O B-Agr O O B-Agr O O B-Agr O O
292,Microtubules are seen to signifier midst inosculate networks,B-Agr O O O O O O B-Agr
293,Four ponds received the wastes from 500 1000 2000 and 4000 laying hens/ha respectively while the fifth pond received no poultry wastes,O B-Agr O O B-Agr O O O O O O O B-Agr O O O O B-Agr O O B-Agr B-Agr
294,Results verified the relative lack of yield sensitiveness to vegetative stage water stress and the high sensitiveness of the reproductive stages,B-Agr O O O O O O O O B-Agr I-Agr B-Agr B-Agr O O O O O O O B-Agr
295,Future soil survey reports should ideally incorporate basic physical data and the possible ranges for the unlike assessment factors show by simulation as a function of water management,O B-Agr O B-Agr O O O O O B-Agr O O O O O O O B-Agr B-Agr O O B-Agr O O O O B-Agr B-Agr
296,Segment pulp contained slightly less fibre than citrus pulp,O B-Agr O O O O O B-Agr B-Agr
297,There was no relationship between grain size and charge-per-unit of grain filling thereby suggesting that grain filling is find by inherent endogenic factors,O O O O O B-Agr B-Agr O O O B-Agr B-Agr O O O B-Agr B-Agr O O O O O B-Agr
298,The deviation between the larvae of lepidopterous species damaging maturate grapes in this area are reported,O O O O B-Agr O O B-Agr O O B-Agr O O B-Agr O O
299,Inheritance of dormancy and the results of selection of non-dormant genotypes in segregating populations of lettuce were look-into,B-Agr O B-Agr O O B-Agr O B-Agr O O B-Agr O O B-Agr O O O O
300,Few data are available relating leaf water potential to yield and yield components,O B-Agr O O O B-Agr B-Agr I-Agr O B-Agr O O B-Agr
301,The evaporation from four different evaporimeters,O B-Agr O O O B-Agr
302,Shading affected the per-centum dry affair in the roots and number of leaves of both species,B-Agr O O O B-Agr I-Agr O O B-Agr O O O B-Agr O O B-Agr
303,No phenotypic growth deviation were observe on plants after removal from storage,O O B-Agr O O O O B-Agr O B-Agr O B-Agr
304,eventually the results of a comparative analysis of fiscal pressure in agriculture in six extremity countries are show,O O B-Agr O O B-Agr I-Agr O O B-Agr O B-Agr O O O B-Agr O O
305,harmonize to the maximum heating requirements of a traditional greenhouse air-conditioning units with reversible air-air heat pump are planned for characteristic areas of north middle and south of Italy,O O O O B-Agr B-Agr O O O O B-Agr B-Agr O O B-Agr B-Agr O O O O O B-Agr O O O O O O B-Agr
306,Diapausing larvae can be found in winter in the empty mummified berries,O B-Agr O O O O B-Agr O O O O B-Agr
307,The purification procedure is write of (NH(4))(2)SO(4) precipitation ion-exchange chromatography and chromatography on Sepharose-bound starch,O B-Agr O O O O O B-Agr O B-Agr O B-Agr O O B-Agr
308,Data on quantity and quality of production for every pruning treatment are presumption,B-Agr O O O B-Agr O B-Agr O O B-Agr O O O
309,Crystal aluminium phosphates look to fulfill about 10-25% of the phosphorus needs of crops,O B-Agr B-Agr O O O O O O O B-Agr B-Agr O B-Agr
310,After a symptomatological and epidemiogical description of the main potato viruses spread in Italy the production of virus-free tubers by field selection and laboratory screening using serology and mechanical inoculation on test plants is depict,O O O O O O O O O O B-Agr O O B-Agr O B-Agr O B-Agr B-Agr O O B-Agr O O B-Agr B-Agr B-Agr O O B-Agr O O B-Agr O O
311,Epidermal hyperplasia in cod is described,O B-Agr O B-Agr O O
312,The results demo that application of phosphorus and zinc importantly increased the dry affair yield of shoots grains and roots,O B-Agr O O B-Agr O B-Agr O B-Agr O O O B-Agr I-Agr O O B-Agr B-Agr O B-Agr
313,This was achieved by eliminating the gap in timing between urea hydrolysis and ammonium nitrification,O O O O O O O O B-Agr O B-Agr B-Agr O B-Agr B-Agr
314,Increasing Mg supply and correspondingly decreasing Mg deficiency symptoms during grain filling improved thousand grain weight (TGW),O O B-Agr O O O O O B-Agr O B-Agr B-Agr O O B-Agr B-Agr O
315,Increase in seed size was also dependent on a higher number of cells in the endosperm suggesting that endosperm cell number more than cell size plays an important role in controlling the final size of maize grain,O O B-Agr I-Agr O O O O O O O O B-Agr O O B-Agr O O B-Agr B-Agr O O O B-Agr I-Agr O O O O O O O O I-Agr O B-Agr B-Agr
316,Tropical and subtropical cultivated plants with a high proportion of crop residues or waste after processing were subjected to a comparative analysis in order to establish their suitableness and to cipher their potential for biogas production,O O O O B-Agr O O O O O B-Agr I-Agr O B-Agr O B-Agr O O O O B-Agr I-Agr O B-Agr O O O O O O O O O O B-Agr B-Agr
317,diminish yield increased asepsis and diminish grain weight were associated with degree and duration of water stress happen at particular developmental stages,O O O O O O B-Agr B-Agr O O O O O B-Agr O B-Agr B-Agr O O O O B-Agr
318,deviation in final grain weight were as anticipate associated with parallel alteration in charge-per-unit and duration of grain filling,O O O B-Agr B-Agr O O O O O O O O O O B-Agr O B-Agr B-Agr
319,A number of meetings recently held in Italy pointed out that acquaculture could be a assure science for Italy which is so rich in aquatic resources (springs lakes rivers lagoons coasts and sea waters),O O O B-Agr O O O B-Agr O O O O O O O O O O B-Agr O O O O O B-Agr I-Agr O B-Agr B-Agr B-Agr B-Agr O O B-Agr
320,This trouble can be get-the-better-of with in vivo or in vitro adventitious bud techniques which in combination with radiation give almost entirely solid non-chimeric mutants and unmutated plants,O O O O O O B-Agr O O B-Agr I-Agr O O B-Agr O B-Agr O O B-Agr O O O O O B-Agr O O B-Agr
321,Estimates of root length per unit soil volume (L) were deduce from N( r) by presume random orientation of roots in the soil,O O B-Agr I-Agr O O B-Agr B-Agr O O O O O O O O O B-Agr O B-Agr O O B-Agr
322,The species is redescribed complementing the original description,O B-Agr O O B-Agr O O O
323,The evaporation from four unlike evaporimeters,O B-Agr O O O B-Agr
324,The low charge-per-unit (100 seeds/m('2)) delayed the plant flowering time so inducing higher sensitiveness to drought and earlier ripening,O O O O B-Agr O O O B-Agr B-Agr O O O O O B-Agr O O B-Agr
325,The histone message of chromatin diminish as DNA synthesis progressed,O O O O B-Agr O O B-Agr B-Agr O
326,This programme regards Italian forest problems and their solution could offer important results as to: soil protection recovery of unproductive lands growing demand for wood and -last but not least - unemployment,O O O O O O O O O O O O B-Agr O O B-Agr B-Agr B-Agr O O B-Agr O B-Agr O B-Agr O O O O O O B-Agr
327,The yield was significantly increased by soaking the seeds in different concentrations of GA IAA and NAA solutions which significantly effected the number and weight of pods per plant,O O O O O O B-Agr O B-Agr O O O O O B-Agr O B-Agr B-Agr O O O O O O B-Agr O B-Agr O O
328,There have been quantitative-qualitative comparisons made of lipid extracts (using four solvents) from samples of uncultivated soil taken bimonthly in the course of five years to know the evolution of lipids in the soil,O O O O O O O B-Agr B-Agr O O B-Agr O B-Agr O O B-Agr O O O O O O O O O O O B-Agr O B-Agr O O B-Agr
329,On the contrary productivity of the later varieties was especially enhanced by a longer Leaf Area Duration (LAD),O O O B-Agr O O O B-Agr O O O O O O B-Agr I-Agr B-Agr O
330,Nickel concentration of 50 micro g/g in shoots did not reduce the dry affair production in rye grass although rebuff chlorosis did look at this level,B-Agr O O O O O O B-Agr O O O O B-Agr I-Agr B-Agr O B-Agr O O O B-Agr O O O O O
331,The species is redescribed complementing the master description,O B-Agr O O B-Agr O O O
332,On the contrary productivity of the ulterior varieties was particularly heighten by a longer Leaf Area Duration (LAD),O O O B-Agr O O O B-Agr O O O O O O B-Agr I-Agr B-Agr O
333,Weekly the serum levels of calcium phosphorus magnesium copper zinc sodium potassium and chloride was checked,O O O B-Agr O B-Agr B-Agr B-Agr B-Agr B-Agr B-Agr B-Agr O O O O
334,Similar levels of these substances were found in the roots of both crops from January until mid-March,O B-Agr O O B-Agr O O O O B-Agr O O B-Agr O O O O
335,Citrus pulp composition was (dry affair basis) 60-65 per cent peel 30-35 per cent section pulp and 0-10 per per cent seeds,B-Agr B-Agr B-Agr O O I-Agr O O O O B-Agr O O O O B-Agr O O O O O B-Agr
336,The implications of the results for the photosynthetic efficiency of maize at unfavorable temperatures are discussed,O O O O B-Agr O O O B-Agr O B-Agr O O B-Agr O O
337,Etiolated seedlings grown in CAP 10('-4)M exposed 48 h after sowing to far red light accumulate large quantity of anthocyanins in hypocotyls and cotyledons,O B-Agr O O B-Agr O O O O O B-Agr O O O B-Agr O O O O B-Agr O B-Agr O B-Agr
338,Starch accumulates chiefly in the parenchyma of the inner bark and of the wood,B-Agr O O O O B-Agr O O O B-Agr O O O B-Agr
339,The blood levels of calcium increased with advancing pregnancy and diminish milk secretion,O B-Agr B-Agr O B-Agr O O O B-Agr O O B-Agr B-Agr
